date,symbol,exchange,company_name,stock_price_close,option_symbol,option_expiration,strike,call_put,style,ask,bid,mean_price,settlement,volume,open_interest,stock_price_for_iv
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00107000,10/18/2019,107.000,C,A,44.410,44.280,44.345,0.000,0,0,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00107000,10/18/2019,107.000,P,A,0.010,0.000,0.000,0.000,0,42,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00108000,10/18/2019,108.000,C,A,43.410,43.280,43.345,0.000,0,0,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00108000,10/18/2019,108.000,P,A,0.010,0.000,0.000,0.000,0,130,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00109000,10/18/2019,109.000,C,A,42.410,42.280,42.345,0.000,0,0,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00109000,10/18/2019,109.000,P,A,0.010,0.000,0.000,0.000,0,184,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00110000,10/18/2019,110.000,C,A,41.410,41.280,41.345,0.000,0,0,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00110000,10/18/2019,110.000,P,A,0.010,0.000,0.000,0.000,0,124,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00111000,10/18/2019,111.000,C,A,40.410,40.280,40.345,0.000,0,0,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00111000,10/18/2019,111.000,P,A,0.010,0.000,0.000,0.000,0,216,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00112000,10/18/2019,112.000,C,A,39.410,39.280,39.345,0.000,0,0,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00112000,10/18/2019,112.000,P,A,0.010,0.000,0.000,0.000,0,10,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00113000,10/18/2019,113.000,C,A,38.410,38.280,38.345,0.000,0,0,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00113000,10/18/2019,113.000,P,A,0.010,0.000,0.000,0.000,0,321,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00114000,10/18/2019,114.000,C,A,37.410,37.280,37.345,0.000,0,0,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00114000,10/18/2019,114.000,P,A,0.010,0.000,0.000,0.000,0,226,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00115000,10/18/2019,115.000,C,A,36.410,36.280,36.345,0.000,0,0,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00115000,10/18/2019,115.000,P,A,0.010,0.000,0.000,0.000,0,698,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00116000,10/18/2019,116.000,C,A,35.410,35.280,35.345,0.000,0,0,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00116000,10/18/2019,116.000,P,A,0.010,0.000,0.000,0.000,0,34,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00117000,10/18/2019,117.000,C,A,34.410,34.280,34.345,0.000,0,0,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00117000,10/18/2019,117.000,P,A,0.010,0.000,0.000,0.000,0,14,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00118000,10/18/2019,118.000,C,A,33.410,33.280,33.345,0.000,0,1,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00118000,10/18/2019,118.000,P,A,0.010,0.000,0.000,0.000,0,30,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00119000,10/18/2019,119.000,C,A,32.410,32.280,32.345,0.000,0,0,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00119000,10/18/2019,119.000,P,A,0.010,0.000,0.000,0.000,0,131,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00120000,10/18/2019,120.000,C,A,31.410,31.280,31.345,0.000,0,27,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00120000,10/18/2019,120.000,P,A,0.010,0.000,0.000,0.000,0,1849,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00121000,10/18/2019,121.000,C,A,30.410,30.280,30.345,0.000,0,0,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00121000,10/18/2019,121.000,P,A,0.010,0.000,0.000,0.000,0,149,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00122000,10/18/2019,122.000,C,A,29.410,29.290,29.350,0.000,0,0,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00122000,10/18/2019,122.000,P,A,0.010,0.000,0.000,0.000,0,361,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00123000,10/18/2019,123.000,C,A,28.410,28.280,28.345,0.000,0,10,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00123000,10/18/2019,123.000,P,A,0.010,0.000,0.000,0.000,0,138,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00124000,10/18/2019,124.000,C,A,27.410,27.280,27.345,0.000,0,1,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00124000,10/18/2019,124.000,P,A,0.010,0.000,0.000,0.000,0,373,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00125000,10/18/2019,125.000,C,A,26.410,26.290,26.350,0.000,0,0,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00125000,10/18/2019,125.000,P,A,0.010,0.000,0.000,0.000,3,13758,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00126000,10/18/2019,126.000,C,A,25.410,25.290,25.350,0.000,0,0,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00126000,10/18/2019,126.000,P,A,0.010,0.000,0.000,0.000,0,760,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00127000,10/18/2019,127.000,C,A,24.410,24.290,24.350,0.000,0,0,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00127000,10/18/2019,127.000,P,A,0.010,0.000,0.000,0.000,0,350,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00127500,10/18/2019,127.500,C,A,23.920,23.790,23.855,0.000,0,0,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00127500,10/18/2019,127.500,P,A,0.010,0.000,0.000,0.000,0,0,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00128000,10/18/2019,128.000,C,A,23.420,23.290,23.355,0.000,0,0,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00128000,10/18/2019,128.000,P,A,0.010,0.000,0.000,0.000,2,1794,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00128500,10/18/2019,128.500,C,A,22.920,22.790,22.855,0.000,0,0,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00128500,10/18/2019,128.500,P,A,0.010,0.000,0.000,0.000,0,2004,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00129000,10/18/2019,129.000,C,A,22.420,22.290,22.355,0.000,0,0,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00129000,10/18/2019,129.000,P,A,0.010,0.000,0.000,0.000,0,6150,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00129500,10/18/2019,129.500,C,A,21.920,21.790,21.855,0.000,0,0,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00129500,10/18/2019,129.500,P,A,0.010,0.000,0.000,0.000,0,0,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00130000,10/18/2019,130.000,C,A,21.420,21.290,21.355,0.000,0,52,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00130000,10/18/2019,130.000,P,A,0.010,0.000,0.000,0.000,0,12230,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00130500,10/18/2019,130.500,C,A,20.920,20.790,20.855,0.000,0,0,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00130500,10/18/2019,130.500,P,A,0.010,0.000,0.000,0.000,0,148,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00131000,10/18/2019,131.000,C,A,20.420,20.290,20.355,0.000,0,0,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00131000,10/18/2019,131.000,P,A,0.010,0.000,0.000,0.000,10,573,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00131500,10/18/2019,131.500,C,A,19.920,19.790,19.855,0.000,0,0,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00131500,10/18/2019,131.500,P,A,0.010,0.000,0.000,0.000,0,2,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00132000,10/18/2019,132.000,C,A,19.420,19.290,19.355,0.000,0,1,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00132000,10/18/2019,132.000,P,A,0.010,0.000,0.000,0.000,0,1997,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00132500,10/18/2019,132.500,C,A,18.920,18.790,18.855,0.000,0,0,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00132500,10/18/2019,132.500,P,A,0.010,0.000,0.000,0.000,0,44,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00133000,10/18/2019,133.000,C,A,18.420,18.290,18.355,0.000,0,22,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00133000,10/18/2019,133.000,P,A,0.010,0.000,0.000,0.000,0,2754,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00133500,10/18/2019,133.500,C,A,17.920,17.790,17.855,0.000,0,0,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00133500,10/18/2019,133.500,P,A,0.010,0.000,0.000,0.000,0,34,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00134000,10/18/2019,134.000,C,A,17.420,17.290,17.355,0.000,0,84,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00134000,10/18/2019,134.000,P,A,0.010,0.000,0.000,0.000,0,1118,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00134500,10/18/2019,134.500,C,A,16.920,16.790,16.855,0.000,0,1,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00134500,10/18/2019,134.500,P,A,0.010,0.000,0.000,0.000,0,74,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00135000,10/18/2019,135.000,C,A,16.420,16.310,16.365,0.000,20,133,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00135000,10/18/2019,135.000,P,A,0.010,0.000,0.000,0.000,0,23637,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00135500,10/18/2019,135.500,C,A,15.920,15.790,15.855,0.000,0,0,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00135500,10/18/2019,135.500,P,A,0.010,0.000,0.000,0.000,0,159,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00136000,10/18/2019,136.000,C,A,15.420,15.310,15.365,0.000,0,126,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00136000,10/18/2019,136.000,P,A,0.010,0.000,0.000,0.000,0,16112,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00136500,10/18/2019,136.500,C,A,14.920,14.800,14.860,0.000,0,3,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00136500,10/18/2019,136.500,P,A,0.010,0.000,0.000,0.000,0,781,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00137000,10/18/2019,137.000,C,A,14.420,14.300,14.360,0.000,31,822,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00137000,10/18/2019,137.000,P,A,0.010,0.000,0.000,0.000,1,15273,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00137500,10/18/2019,137.500,C,A,13.920,13.800,13.860,0.000,0,3,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00137500,10/18/2019,137.500,P,A,0.010,0.000,0.000,0.000,0,70,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00138000,10/18/2019,138.000,C,A,13.420,13.300,13.360,0.000,0,28,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00138000,10/18/2019,138.000,P,A,0.010,0.000,0.000,0.000,129,5249,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00138500,10/18/2019,138.500,C,A,12.930,12.800,12.865,0.000,0,0,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00138500,10/18/2019,138.500,P,A,0.010,0.000,0.000,0.000,0,2014,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00139000,10/18/2019,139.000,C,A,12.430,12.310,12.370,0.000,1,11,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00139000,10/18/2019,139.000,P,A,0.010,0.000,0.000,0.000,38,7045,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00139500,10/18/2019,139.500,C,A,11.930,11.810,11.870,0.000,0,0,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00139500,10/18/2019,139.500,P,A,0.010,0.000,0.000,0.000,0,276,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00140000,10/18/2019,140.000,C,A,11.430,11.300,11.365,0.000,23,102,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00140000,10/18/2019,140.000,P,A,0.010,0.000,0.000,0.000,71,68749,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00140500,10/18/2019,140.500,C,A,10.930,10.810,10.870,0.000,0,22,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00140500,10/18/2019,140.500,P,A,0.020,0.010,0.015,0.000,10,285,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00141000,10/18/2019,141.000,C,A,10.420,10.300,10.360,0.000,1,243,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00141000,10/18/2019,141.000,P,A,0.020,0.010,0.015,0.000,251,29998,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00141500,10/18/2019,141.500,C,A,9.930,9.810,9.870,0.000,0,34,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00141500,10/18/2019,141.500,P,A,0.020,0.010,0.015,0.000,52,1494,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00142000,10/18/2019,142.000,C,A,9.430,9.320,9.375,0.000,32,1085,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00142000,10/18/2019,142.000,P,A,0.020,0.010,0.015,0.000,145,43985,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00142500,10/18/2019,142.500,C,A,8.930,8.820,8.875,0.000,0,169,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00142500,10/18/2019,142.500,P,A,0.020,0.010,0.015,0.000,8,1094,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00143000,10/18/2019,143.000,C,A,8.430,8.310,8.370,0.000,0,450,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00143000,10/18/2019,143.000,P,A,0.030,0.020,0.025,0.000,1505,27488,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00143500,10/18/2019,143.500,C,A,7.940,7.830,7.885,0.000,0,44,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00143500,10/18/2019,143.500,P,A,0.030,0.020,0.025,0.000,428,1874,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00144000,10/18/2019,144.000,C,A,7.450,7.340,7.395,0.000,10,931,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00144000,10/18/2019,144.000,P,A,0.030,0.020,0.025,0.000,10024,64548,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00144500,10/18/2019,144.500,C,A,6.950,6.840,6.895,0.000,0,43,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00144500,10/18/2019,144.500,P,A,0.040,0.030,0.035,0.000,463,2053,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00145000,10/18/2019,145.000,C,A,6.460,6.350,6.405,0.000,25,1484,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00145000,10/18/2019,145.000,P,A,0.050,0.040,0.045,0.000,1332,58939,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00145500,10/18/2019,145.500,C,A,5.980,5.850,5.915,0.000,2,525,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00145500,10/18/2019,145.500,P,A,0.060,0.050,0.055,0.000,33,1577,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00146000,10/18/2019,146.000,C,A,5.490,5.380,5.435,0.000,51,1844,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00146000,10/18/2019,146.000,P,A,0.080,0.070,0.075,0.000,2272,37984,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00146500,10/18/2019,146.500,C,A,5.010,4.900,4.955,0.000,9,435,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00146500,10/18/2019,146.500,P,A,0.100,0.090,0.095,0.000,30,2480,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00147000,10/18/2019,147.000,C,A,4.530,4.430,4.480,0.000,15,3194,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00147000,10/18/2019,147.000,P,A,0.120,0.110,0.115,0.000,1095,11668,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00147500,10/18/2019,147.500,C,A,4.060,3.960,4.010,0.000,1,1203,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00147500,10/18/2019,147.500,P,A,0.160,0.150,0.155,0.000,1362,3291,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00148000,10/18/2019,148.000,C,A,3.600,3.500,3.550,0.000,324,8789,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00148000,10/18/2019,148.000,P,A,0.200,0.190,0.195,0.000,977,28727,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00148500,10/18/2019,148.500,C,A,3.150,3.070,3.110,0.000,483,1541,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00148500,10/18/2019,148.500,P,A,0.260,0.240,0.250,0.000,2875,2329,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00149000,10/18/2019,149.000,C,A,2.690,2.660,2.675,0.000,1315,18772,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00149000,10/18/2019,149.000,P,A,0.320,0.310,0.315,0.000,7361,25960,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00149500,10/18/2019,149.500,C,A,2.280,2.250,2.265,0.000,1393,4436,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00149500,10/18/2019,149.500,P,A,0.410,0.400,0.405,0.000,1531,2198,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00150000,10/18/2019,150.000,C,A,1.900,1.860,1.880,0.000,3914,15133,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00150000,10/18/2019,150.000,P,A,0.530,0.520,0.525,0.000,7800,49114,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00150500,10/18/2019,150.500,C,A,1.530,1.500,1.515,0.000,1449,5458,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00150500,10/18/2019,150.500,P,A,0.670,0.650,0.660,0.000,2823,2336,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00151000,10/18/2019,151.000,C,A,1.200,1.180,1.190,0.000,4023,10473,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00151000,10/18/2019,151.000,P,A,0.840,0.830,0.835,0.000,2128,24867,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00151500,10/18/2019,151.500,C,A,0.910,0.890,0.900,0.000,3912,10317,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00151500,10/18/2019,151.500,P,A,1.060,1.040,1.050,0.000,755,1448,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00152000,10/18/2019,152.000,C,A,0.660,0.640,0.650,0.000,16096,21015,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00152000,10/18/2019,152.000,P,A,1.310,1.290,1.300,0.000,6748,38320,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00152500,10/18/2019,152.500,C,A,0.460,0.440,0.450,0.000,3158,5600,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00152500,10/18/2019,152.500,P,A,1.610,1.580,1.595,0.000,913,1980,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00153000,10/18/2019,153.000,C,A,0.300,0.290,0.295,0.000,2882,16196,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00153000,10/18/2019,153.000,P,A,1.960,1.930,1.945,0.000,1284,10660,151.320
